2012001 4 5 15 1 9 17 6
2012002 32 3 7 2 10 9 13
2012003 24 8 6 31 3 29 9
2012004 1 11 23 10 5 21 16
2012005 7 31 27 33 18 9 6
2012006 22 25 2 29 32 33 8
2012007 19 32 28 17 10 27 04
2012008 29 20 1 12 23 24 8
2012009 27 24 16 4 33 26 11
2012010 13 3 25 19 1 26 10
2012011 14 15 20 26 16 4 5
2012012 15 17 27 18 23 20 1
2012013 24 6 30 8 32 29 13
2012014 1 5 28 30 2 16 12
2012015 3 1 21 10 23 6 15
2012016 22 17 12 25 2 5 8
2012017 28 25 19 9 6 14 10
2012018 22 26 5 32 6 3 15
2012019 30 22 7 20 18 14 16
2012020 12 3 23 29 18 8 11
2012021 1 18 30 22 15 16 3
2012022 26 8 12 27 24 4 4
2012023 9 15 23 33 5 24 2
2012024 25 28 4 12 19 21 13
2012025 25 3 9 27 8 17 6
2012026 3 25 15 9 24 7 16
2012027 25 30 22 31 16 4 12
2012028 30 15 10 28 21 20 11
2012029 7 25 26 15 4 28 3
2012030 18 21 31 10 9 17 8
2012031 22 4 24 31 27 16 3
2012032 2 24 10 22 17 1 4
2012033 27 16 3 17 15 2 4
2012034 2 23 33 3 8 32 16
2012035 24 12 11 21 26 9 5
2012036 2 19 26 11 18 13 9
2012037 24 19 14 5 28 33 9
2012038 15 19 11 9 33 10 16
2012039 2 22 1 29 13 5 8
2012040 22 9 31 8 25 3 10
2012041 20 24 8 32 11 15 2
2012042 5 6 19 24 28 11 16
2012043 2 11 33 26 9 21 3
2012044 9 6 25 10 14 22 3
2012045 21 20 27 8 30 11 9
2012046 20 33 19 4 12 23 6
2012047 6 33 11 7 32 16 11
2012048 30 5 1 14 24 22 10
2012049 20 19 4 12 13 32 2
2012050 15 7 13 17 24 19 11
2012051 2 14 17 12 30 31 9
2012052 3 5 20 6 24 2 4
2012053 33 25 4 22 27 15 4
2012054 14 20 18 30 33 6 14
2012055 6 24 28 4 13 20 1
2012056 4 14 26 31 17 7 10
2012057 21 31 27 3 5 19 4
2012058 20 26 25 3 6 15 4
2012059 21 13 26 4 22 31 1
2012060 17 16 29 7 10 13 1
2012061 3 18 11 8 14 12 14
2012062 2 31 17 16 20 13 7
2012063 24 17 10 2 19 27 12
2012064 23 10 16 24 11 5 11
2012065 19 8 27 10 18 31 14
2012066 1 26 29 2 9 33 12
2012067 4 26 30 10 21 5 16
2012068 32 22 17 5 26 33 10
2012069 20 11 18 10 29 8 6
2012070 4 2 31 32 24 3 11
2012071 21 19 23 22 3 4 8
2012072 2 3 13 30 7 9 6
2012073 27 17 7 9 10 4 5
2012074 32 16 28 19 18 15 8
2012075 6 23 4 32 29 22 11
2012076 29 22 11 18 30 27 15
2012077 26 28 2 18 13 4 12
2012078 15 24 8 22 28 33 12
2012079 33 24 6 12 30 7 12
2012080 9 15 14 4 16 27 3
2012081 29 5 25 2 24 10 6
2012082 22 11 4 29 18 2 6
2012083 4 33 15 14 26 9 4
2012084 2 28 26 20 29 10 14
2012085 24 17 30 5 33 31 5
2012086 9 8 23 15 13 22 8
2012087 13 14 11 10 3 22 9
2012088 23 3 24 27 5 31 15
2012089 25 3 13 14 10 7 11
2012090 20 30 25 2 29 13 11
2012091 7 5 21 19 8 1 16
2012092 17 18 32 28 6 13 3
2012093 19 24 33 21 3 5 13
2012094 14 9 33 23 16 6 15
2012095 24 29 17 27 28 30 2
2012096 7 29 11 16 33 4 7
2012097 14 13 8 22 19 5 6
2012098 12 31 19 26 29 2 9
2012099 21 8 27 16 15 12 16
2012100 33 15 5 7 28 18 10
2012101 33 12 9 17 18 20 2
2012102 13 25 30 27 29 28 15
2012103 9 4 14 11 33 32 2
2012104 28 19 9 5 4 10 3
2012105 17 6 13 15 14 30 4
2012106 32 13 22 20 14 23 16
2012107 31 15 11 25 24 12 9
2012108 13 12 19 1 9 28 13
2012109 29 12 31 2 26 24 3
2012110 7 3 13 10 32 22 9
2012111 10 31 9 20 22 2 13
2012112 15 31 20 21 27 8 6
2012113 6 9 18 3 32 13 6
2012114 29 6 11 26 27 1 15
2012115 3 32 24 20 26 8 14
2012116 31 29 32 21 3 26 3
2012117 24 15 18 20 28 13 9
2012118 6 12 5 15 7 28 11
2012119 12 20 27 25 26 28 13
2012120 4 29 1 20 28 24 16
2012121 1 20 7 24 8 23 11
2012122 19 29 12 22 28 13 11
2012123 10 8 25 16 28 33 9
2012124 7 33 21 27 6 25 11
2012125 12 13 26 29 8 33 1
2012126 12 24 5 23 15 3 7
2012127 26 9 11 21 32 1 8
2012128 30 12 5 9 31 29 5
2012129 21 1 7 9 17 29 1
2012130 20 15 22 31 1 3 3
2012131 6 19 32 28 26 18 12
2012132 16 25 7 12 17 21 10
2012133 20 1 29 21 8 11 2
2012134 5 7 13 6 23 2 15
2012135 2 8 11 17 7 5 16
2012136 7 21 28 17 2 8 11
2012137 1 13 17 2 4 6 7
2012138 1 7 16 17 19 21 14
2012139 8 24 21 31 28 19 15
2012140 31 30 33 14 27 18 15
2012141 20 8 5 3 27 19 9
2012142 31 22 5 29 18 28 6
2012143 8 25 7 30 18 32 6
2012144 3 10 13 30 12 27 4
2012145 5 28 26 27 20 33 3
2012146 7 5 32 1 29 13 13
2012147 24 15 23 32 2 12 9
2012148 3 21 6 11 31 17 7
2012149 26 25 32 01 13 05 13
2012150 17 23 24 9 26 11 7
2012151 25 24 32 14 26 5 1
2012152 28 10 29 12 18 22 7
2012153 21 11 4 5 28 27 10
2012154 5 16 12 32 28 7 4
